Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2015,3354,9.0,Vannes,Plumelec,Bmc Racing Team,Chris Froome,Peter Sagan,Daniel Teklehaimanot,Nairo Quintana,
2015,3354,10.0,Tarbes,La Pierre-Saint-Martin,Chris Froome  (Team Sky),Chris Froome,André Greipel,Richie Porte,Nairo Quintana,
2015,3354,11.0,Pau,Cauterets,Rafal Majka  (Tinkoff-Saxo),Chris Froome,Peter Sagan,Richie Porte,Nairo Quintana,
2015,3354,12.0,Lannemezan,plateau_de_beille,Joaquin Rodriguez Oliver  (Team Katusha),Chris Froome,Peter Sagan,Joaquin Rodriguez Oliver,Nairo Quintana,
2015,3354,13.0,Muret,Rodez,Greg Van Avermaet  (Bmc Racing Team),Chris Froome,Peter Sagan,Joaquin Rodriguez Oliver,Nairo Quintana,
2015,3354,14.0,Rodez,Mende,Stephen Cummings  (Mtn-Qhubeka),Chris Froome,Peter Sagan,Joaquin Rodriguez Oliver,Nairo Quintana,
2015,3354,15.0,Mende,Valence,André Greipel  (Lotto-Soudal),Chris Froome,Peter Sagan,Joaquin Rodriguez Oliver,Nairo Quintana,
2015,3354,16.0,Bourg-de-Péage,Gap,Ruben Plaza Molina  (Lampre - Merida),Chris Froome,Peter Sagan,Joaquin Rodriguez Oliver,Nairo Quintana,
2015,3354,17.0,Digne-les-Bains,Pra Loup,Simon Geschke  (Team Giant-Alpecin),Chris Froome,Peter Sagan,Joaquin Rodriguez Oliver,Nairo Quintana,
2015,3354,18.0,Gap,Saint-Jean-de-Maurienne,Romain Bardet  (Ag2R La Mondiale),Chris Froome,Peter Sagan,Joaquin Rodriguez Oliver,Nairo Quintana,
2015,3354,19.0,Saint-Jean-de-Maurienne,La Toussuire,Vincenzo Nibali  (Astana Pro Team),Chris Froome,Peter Sagan,Romain Bardet,Nairo Quintana,
2015,3354,20.0,Modane Valfréjus,Alpe d'Huez,Thibaut Pinot  (Fdj),Chris Froome,Peter Sagan,Romain Bardet,Nairo Quintana,
2015,3354,21.0,Sèvres - Grand Paris Seine Ouest,Paris Champs-Élysées,André Greipel  (Lotto-Soudal),Chris Froome,Peter Sagan,Chris Froome,Nairo Quintana,
2014,3659,1.0,Leeds,Harrogate,Marcel Kittel  (Team Giant-Shimano),Marcel Kittel,Bryan Coquard,Jens Voigt,Peter Sagan,
