Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
50,KATHRIN HAMMES,83.0,EF EDUCATION - TIBCO - SVB,26h 06' 21'',+ 00h 48' 46'',,,2023,956,8,time,93981,2926
51,MARTA LACH,196.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 07' 03'',+ 00h 49' 28'',,,2023,956,8,time,94023,2968
52,LUCINDA BRAND,62.0,LIDL - TREK,26h 07' 58'',+ 00h 50' 23'',,,2023,956,8,time,94078,3023
53,ELIZABETH STANNARD,126.0,ISRAEL PREMIER TECH ROLAND,26h 08' 51'',+ 00h 51' 16'',,01' 00'',2023,956,8,time,94131,3076
54,AGNIESZKA SKALNIAK-SOJKA,26.0,CANYON//SRAM RACING,26h 08' 53'',+ 00h 51' 18'',,,2023,956,8,time,94133,3078
55,MAAIKE COLJÉ,203.0,ARKEA PRO CYCLING TEAM,26h 11' 20'',+ 00h 53' 45'',,,2023,956,8,time,94280,3225
56,QUINTY TON,97.0,LIV RACING TEQFIND,26h 12' 02'',+ 00h 54' 27'',,,2023,956,8,time,94322,3267
57,JULIE VAN DE VELDE,117.0,FENIX-DECEUNINCK,26h 12' 11'',+ 00h 54' 36'',,,2023,956,8,time,94331,3276
58,GEORGIA WILLIAMS,87.0,EF EDUCATION - TIBCO - SVB,26h 12' 34'',+ 00h 54' 59'',,,2023,956,8,time,94354,3299
59,ELIZABETH HOLDEN,46.0,UAE TEAM ADQ,26h 12' 37'',+ 00h 55' 02'',,,2023,956,8,time,94357,3302
60,CHRISTINE MAJERUS,15.0,TEAM SD WORX,26h 12' 53'',+ 00h 55' 18'',,,2023,956,8,time,94373,3318
61,PFEIFFER GEORGI,53.0,TEAM DSM-FIRMENICH,26h 13' 10'',+ 00h 55' 35'',,,2023,956,8,time,94390,3335
62,LETIZIA BORGHESI,82.0,EF EDUCATION - TIBCO - SVB,26h 13' 12'',+ 00h 55' 37'',,,2023,956,8,time,94392,3337
63,MISCHA BREDEWOLD,12.0,TEAM SD WORX,26h 13' 31'',+ 00h 55' 56'',,,2023,956,8,time,94411,3356
64,DILYXINE MIERMONT,146.0,ST MICHEL - MAVIC - AUBER93,26h 14' 15'',+ 00h 56' 40'',,,2023,956,8,time,94455,3400
65,FLOORTJE MACKAIJ,6.0,MOVISTAR TEAM WOMEN,26h 14' 39'',+ 00h 57' 04'',,,2023,956,8,time,94479,3424
66,THALITA DE JONG,94.0,LIV RACING TEQFIND,26h 14' 48'',+ 00h 57' 13'',02',,2023,956,8,time,94488,3433
