,Rank,Rider,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds,ResultType
7414,20,STEPHANE GOUBERT,AG2R-LA MONDIALE,88h 24' 42'',+ 00h 31' 50'',,,2008,3559,21,318282,1910,time
7415,21,LAURENS TEN DAM,RABOBANK,88h 25' 51'',+ 00h 32' 59'',,,2008,3559,21,318351,1979,time
7416,22,MAXIME MONFORT,COFIDIS CREDIT PAR TELEPHONE,88h 28' 33'',+ 00h 35' 41'',,,2008,3559,21,318513,2141,time
7417,23,YAROSLAV POPOVYCH,SILENCE - LOTTO,88h 29' 16'',+ 00h 36' 24'',,,2008,3559,21,318556,2184,time
7418,24,STEFAN SCHUMACHER,GEROLSTEINER,88h 30' 12'',+ 00h 37' 20'',,,2008,3559,21,318612,2240,time
7419,25,SYLVESTER SZMYD,LAMPRE,88h 37' 35'',+ 00h 44' 43'',,,2008,3559,21,319055,2683,time
7420,26,MARZIO BRUSEGHIN,LAMPRE,88h 38' 11'',+ 00h 45' 19'',,,2008,3559,21,319091,2719,time
7421,27,CYRIL DESSEL,AG2R-LA MONDIALE,88h 39' 23'',+ 00h 46' 31'',,,2008,3559,21,319163,2791,time
7422,28,CHRISTIAN KNEES,TEAM MILRAM,88h 40' 35'',+ 00h 47' 43'',,,2008,3559,21,319235,2863,time
7423,29,DAVID ARROYO DURAN,CAISSE D'EPARGNE,88h 41' 15'',+ 00h 48' 23'',,,2008,3559,21,319275,2903,time
7424,30,MARIO AERTS,SILENCE - LOTTO,88h 41' 50'',+ 00h 48' 58'',,,2008,3559,21,319310,2938,time
7425,31,PIERRICK FEDRIGO,BOUYGUES TELECOM,88h 43' 11'',+ 00h 50' 19'',,,2008,3559,21,319391,3019,time
7426,32,MARKUS FOTHEN,GEROLSTEINER,88h 53' 56'',+ 01h 01' 04'',,,2008,3559,21,320036,3664,time
7427,33,KOOS MOERENHOUT,RABOBANK,88h 58' 30'',+ 01h 05' 38'',,,2008,3559,21,320310,3938,time
7428,34,GEORGE HINCAPIE,TEAM COLUMBIA,89h 01' 07'',+ 01h 08' 15'',,,2008,3559,21,320467,4095,time
7429,35,MATTEO CARRARA,QUICK STEP,89h 02' 17'',+ 01h 09' 25'',,,2008,3559,21,320537,4165,time
7430,36,JENS VOIGT,TEAM CSC SAXO BANK,89h 04' 47'',+ 01h 11' 55'',,,2008,3559,21,320687,4315,time
7431,37,JÉRÔME PINEAU,BOUYGUES TELECOM,89h 05' 50'',+ 01h 12' 58'',,,2008,3559,21,320750,4378,time
7432,38,EDUARDO GONZALO RAMIREZ,AGRITUBEL,89h 12' 58'',+ 01h 20' 06'',,,2008,3559,21,321178,4806,time
7433,39,CHRISTOPHE LE MEVEL,CREDIT AGRICOLE,89h 13' 16'',+ 01h 20' 24'',,,2008,3559,21,321196,4824,time
7434,40,THOMAS LÖVKVIST,TEAM COLUMBIA,89h 18' 19'',+ 01h 25' 27'',,,2008,3559,21,321499,5127,time
7435,41,DAVID MONCOUTIE,COFIDIS CREDIT PAR TELEPHONE,89h 19' 14'',+ 01h 26' 22'',,,2008,3559,21,321554,5182,time
7436,42,ERIK ZABEL,TEAM MILRAM,89h 19' 32'',+ 01h 26' 40'',,,2008,3559,21,321572,5200,time
7437,43,MARCO VELO,TEAM MILRAM,89h 19' 34'',+ 01h 26' 42'',,,2008,3559,21,321574,5202,time
7438,44,HAIMAR ZUBELDIA,EUSKALTEL - EUSKADI,89h 19' 52'',+ 01h 27' 00'',,,2008,3559,21,321592,5220,time
7439,45,VOLODYMIR GUSTOV,TEAM CSC SAXO BANK,89h 22' 51'',+ 01h 29' 59'',,,2008,3559,21,321771,5399,time
7440,46,RYDER HESJEDAL,GARMIN CHIPOTLE,89h 26' 14'',+ 01h 33' 22'',,,2008,3559,21,321974,5602,time
7441,47,JOHN-LEE AUGUSTYN,BARLOWORLD,89h 29' 13'',+ 01h 36' 21'',,,2008,3559,21,322153,5781,time
7442,48,PAOLO TIRALONGO,LAMPRE,89h 29' 49'',+ 01h 36' 57'',,,2008,3559,21,322189,5817,time
7443,49,EGOI MARTINEZ,EUSKALTEL - EUSKADI,89h 29' 52'',+ 01h 37' 00'',,,2008,3559,21,322192,5820,time
7444,50,DAVID LOPEZ GARCIA,CAISSE D'EPARGNE,89h 32' 29'',+ 01h 39' 37'',,,2008,3559,21,322349,5977,time
7445,51,AMETS TXURRUKA ANSOLA,EUSKALTEL - EUSKADI,89h 34' 51'',+ 01h 41' 59'',,,2008,3559,21,322491,6119,time
7446,52,LEONARDO DUQUE,COFIDIS CREDIT PAR TELEPHONE,89h 37' 16'',+ 01h 44' 24'',,,2008,3559,21,322636,6264,time
7447,53,JOHANN TSCHOPP,BOUYGUES TELECOM,89h 40' 14'',+ 01h 47' 22'',,,2008,3559,21,322814,6442,time
7448,54,HUBERT DUPONT,AG2R-LA MONDIALE,89h 40' 16'',+ 01h 47' 24'',,,2008,3559,21,322816,6444,time
7449,55,JOSÉ IVAN GUTIERREZ PALACIOS,CAISSE D'EPARGNE,89h 41' 19'',+ 01h 48' 27'',,,2008,3559,21,322879,6507,time
7450,56,KURT-ASLE ARVESEN,TEAM CSC SAXO BANK,89h 42' 32'',+ 01h 49' 40'',,,2008,3559,21,322952,6580,time
7451,57,PETER VELITS,TEAM MILRAM,89h 42' 41'',+ 01h 49' 49'',,,2008,3559,21,322961,6589,time
7452,58,RÉMY DI GREGORIO,FRANCAISE DES JEUX,89h 42' 46'',+ 01h 49' 54'',,,2008,3559,21,322966,6594,time
7453,59,BRAM TANKINK,RABOBANK,89h 43' 16'',+ 01h 50' 24'',,,2008,3559,21,322996,6624,time
7454,60,SYLVAIN CHAVANEL,COFIDIS CREDIT PAR TELEPHONE,89h 47' 17'',+ 01h 54' 25'',,,2008,3559,21,323237,6865,time
7455,61,LUIS LEON SANCHEZ,CAISSE D'EPARGNE,89h 48' 31'',+ 01h 55' 39'',,,2008,3559,21,323311,6939,time
7456,62,PIETER WEENING,RABOBANK,89h 48' 44'',+ 01h 55' 52'',,,2008,3559,21,323324,6952,time
7457,63,NICOLAS VOGONDY,AGRITUBEL,89h 48' 56'',+ 01h 56' 04'',,,2008,3559,21,323336,6964,time
7458,64,FABIAN CANCELLARA,TEAM CSC SAXO BANK,89h 50' 01'',+ 01h 57' 09'',,,2008,3559,21,323401,7029,time
7459,65,NICOLAS PORTAL,CAISSE D'EPARGNE,89h 51' 08'',+ 01h 58' 16'',,,2008,3559,21,323468,7096,time
7460,66,FILIPPO POZZATO,LIQUIGAS,89h 52' 05'',+ 01h 59' 13'',,,2008,3559,21,323525,7153,time
7461,67,DAVID MILLAR,GARMIN CHIPOTLE,89h 52' 31'',+ 01h 59' 39'',,,2008,3559,21,323551,7179,time
7462,68,JOOST POSTHUMA,RABOBANK,89h 58' 02'',+ 02h 05' 10'',,,2008,3559,21,323882,7510,time
7463,69,OSCAR FREIRE,RABOBANK,89h 58' 38'',+ 02h 05' 46'',,,2008,3559,21,323918,7546,time
7464,70,MARTIN ELMIGER,AG2R-LA MONDIALE,89h 59' 13'',+ 02h 06' 21'',,,2008,3559,21,323953,7581,time
7465,71,JOSÉ LUIS ARRIETA,AG2R-LA MONDIALE,90h 00' 25'',+ 02h 07' 33'',,,2008,3559,21,324025,7653,time
7466,72,GORKA VERDUGO,EUSKALTEL - EUSKADI,90h 01' 15'',+ 02h 08' 23'',,,2008,3559,21,324075,7703,time
7467,73,YOANN LE BOULANGER,FRANCAISE DES JEUX,90h 01' 42'',+ 02h 08' 50'',,,2008,3559,21,324102,7730,time
7468,74,SEBASTIAN LANG,GEROLSTEINER,90h 02' 15'',+ 02h 09' 23'',,,2008,3559,21,324135,7763,time
7469,75,MURILO ANTONIO FISCHER,LIQUIGAS,90h 05' 55'',+ 02h 13' 03'',,,2008,3559,21,324355,7983,time
7470,76,TRENT LOWE,GARMIN CHIPOTLE,90h 06' 33'',+ 02h 13' 41'',,,2008,3559,21,324393,8021,time
7471,77,JURGEN VAN DE WALLE,QUICK STEP,90h 06' 42'',+ 02h 13' 50'',,,2008,3559,21,324402,8030,time
7472,78,SIMON GERRANS,CREDIT AGRICOLE,90h 07' 17'',+ 02h 14' 25'',,,2008,3559,21,324437,8065,time
7473,79,RÉMI PAURIOL,CREDIT AGRICOLE,90h 09' 25'',+ 02h 16' 33'',,,2008,3559,21,324565,8193,time
7474,80,DAVID LE LAY,AGRITUBEL,90h 09' 35'',+ 02h 16' 43'',,,2008,3559,21,324575,8203,time
7475,81,BENOÎT VAUGRENARD,FRANCAISE DES JEUX,90h 12' 25'',+ 02h 19' 33'',,,2008,3559,21,324745,8373,time
7476,82,DARIO DAVID CIONI,SILENCE - LOTTO,90h 13' 41'',+ 02h 20' 49'',,,2008,3559,21,324821,8449,time
7477,83,CHRIS FROOME,BARLOWORLD,90h 15' 25'',+ 02h 22' 33'',,,2008,3559,21,324925,8553,time
7478,84,GEOFFROY LEQUATRE,AGRITUBEL,90h 15' 56'',+ 02h 23' 04'',,,2008,3559,21,324956,8584,time
7479,85,LAURENT LEFEVRE,BOUYGUES TELECOM,90h 16' 08'',+ 02h 23' 16'',,,2008,3559,21,324968,8596,time
7480,86,JOHAN VAN SUMMEREN,SILENCE - LOTTO,90h 19' 56'',+ 02h 27' 04'',,,2008,3559,21,325196,8824,time
7481,87,GIANPAOLO CHEULA,BARLOWORLD,90h 23' 04'',+ 02h 30' 12'',,,2008,3559,21,325384,9012,time
7482,88,CARLOS BARREDO,QUICK STEP,90h 23' 28'',+ 02h 30' 36'',,,2008,3559,21,325408,9036,time
7483,89,STEF CLEMENT,BOUYGUES TELECOM,90h 25' 11'',+ 02h 32' 19'',,,2008,3559,21,325511,9139,time
7484,90,RUBEN PEREZ MORENO,EUSKALTEL - EUSKADI,90h 26' 47'',+ 02h 33' 55'',,,2008,3559,21,325607,9235,time
7485,91,MARCO MARZANO,LAMPRE,90h 27' 00'',+ 02h 34' 08'',,,2008,3559,21,325620,9248,time
7486,92,RONNY SCHOLZ,GEROLSTEINER,90h 27' 04'',+ 02h 34' 12'',,,2008,3559,21,325624,9252,time
7487,93,ALESSANDRO BALLAN,LAMPRE,90h 28' 00'',+ 02h 35' 08'',,,2008,3559,21,325680,9308,time
7488,94,DANNY PATE,GARMIN CHIPOTLE,90h 29' 21'',+ 02h 36' 29'',,,2008,3559,21,325761,9389,time
7489,95,MATTEO TOSATTO,QUICK STEP,90h 30' 59'',+ 02h 38' 07'',,,2008,3559,21,325859,9487,time
7490,96,THOMAS VOECKLER,BOUYGUES TELECOM,90h 31' 05'',+ 02h 38' 13'',,,2008,3559,21,325865,9493,time
7491,97,SÉBASTIEN ROSSELER,QUICK STEP,90h 32' 50'',+ 02h 39' 58'',,,2008,3559,21,325970,9598,time
7492,98,THOR HUSHOVD,CREDIT AGRICOLE,90h 38' 12'',+ 02h 45' 20'',,,2008,3559,21,326292,9920,time
7493,99,BJÖRN SCHRÖDER,TEAM MILRAM,90h 41' 25'',+ 02h 48' 33'',,,2008,3559,21,326485,10113,time
7494,100,XAVIER FLORENCIO,BOUYGUES TELECOM,90h 46' 43'',+ 02h 53' 51'',,,2008,3559,21,326803,10431,time
7495,101,WILLIAM BONNET,CREDIT AGRICOLE,90h 48' 21'',+ 02h 55' 29'',,,2008,3559,21,326901,10529,time
7496,102,JUAN JOSÉ OROZ UGALDE,EUSKALTEL - EUSKADI,90h 49' 04'',+ 02h 56' 12'',,,2008,3559,21,326944,10572,time
7497,103,INAKI ISASI,EUSKALTEL - EUSKADI,90h 50' 36'',+ 02h 57' 44'',,,2008,3559,21,327036,10664,time
7498,104,MARTIN MÜLLER,TEAM MILRAM,90h 51' 23'',+ 02h 58' 31'',,,2008,3559,21,327083,10711,time
7499,105,GERALD CIOLEK,TEAM COLUMBIA,90h 51' 26'',+ 02h 58' 34'',,,2008,3559,21,327086,10714,time
7500,106,ROBERT HUNTER,BARLOWORLD,90h 56' 54'',+ 03h 04' 02'',,,2008,3559,21,327414,11042,time
7501,107,ADAM JAMES HANSEN,TEAM COLUMBIA,90h 57' 44'',+ 03h 04' 52'',,,2008,3559,21,327464,11092,time
7502,108,STUART O'GRADY,TEAM CSC SAXO BANK,91h 00' 38'',+ 03h 07' 46'',,,2008,3559,21,327638,11266,time
7503,109,JULIAN DEAN,GARMIN CHIPOTLE,91h 00' 49'',+ 03h 07' 57'',,,2008,3559,21,327649,11277,time
7504,110,GERT STEEGMANS,QUICK STEP,91h 01' 15'',+ 03h 08' 23'',,,2008,3559,21,327675,11303,time
7505,111,PHILIPPE GILBERT,FRANCAISE DES JEUX,91h 02' 48'',+ 03h 09' 56'',,,2008,3559,21,327768,11396,time
7506,112,FREDERIK WILLEMS,LIQUIGAS,91h 06' 30'',+ 03h 13' 38'',,,2008,3559,21,327990,11618,time
7507,113,SAMUEL DUMOULIN,COFIDIS CREDIT PAR TELEPHONE,91h 07' 29'',+ 03h 14' 37'',,,2008,3559,21,328049,11677,time
7508,114,ARNAUD COYOT,CAISSE D'EPARGNE,91h 08' 45'',+ 03h 15' 53'',,,2008,3559,21,328125,11753,time
7509,115,ROBERT FÖRSTER,GEROLSTEINER,91h 09' 03'',+ 03h 16' 11'',,,2008,3559,21,328143,11771,time
7510,116,MATTEO BONO,LAMPRE,91h 09' 28'',+ 03h 16' 36'',,,2008,3559,21,328168,11796,time
7511,117,NICKI SORENSEN,TEAM CSC SAXO BANK,91h 09' 53'',+ 03h 17' 01'',,,2008,3559,21,328193,11821,time
7512,118,FLORENT BRARD,COFIDIS CREDIT PAR TELEPHONE,91h 10' 37'',+ 03h 17' 45'',,,2008,3559,21,328237,11865,time
7513,119,MARCUS BURGHARDT,TEAM COLUMBIA,91h 13' 20'',+ 03h 20' 28'',,,2008,3559,21,328400,12028,time
7514,120,JÉRÉMY ROY,FRANCAISE DES JEUX,91h 14' 24'',+ 03h 21' 32'',,,2008,3559,21,328464,12092,time
7515,121,ROBBIE MC EWEN,SILENCE - LOTTO,91h 15' 28'',+ 03h 22' 36'',,,2008,3559,21,328528,12156,time
7516,122,RALF GRABSCH,TEAM MILRAM,91h 16' 09'',+ 03h 23' 17'',,,2008,3559,21,328569,12197,time
7517,123,LEIF HOSTE,SILENCE - LOTTO,91h 16' 45'',+ 03h 23' 53'',,,2008,3559,21,328605,12233,time
7518,124,STEVEN DE JONGH,QUICK STEP,91h 17' 00'',+ 03h 24' 08'',,,2008,3559,21,328620,12248,time
7519,125,HEINRICH HAUSSLER,GEROLSTEINER,91h 18' 26'',+ 03h 25' 34'',,,2008,3559,21,328706,12334,time
7520,126,DANIELE RIGHI,LAMPRE,91h 19' 08'',+ 03h 26' 16'',,,2008,3559,21,328748,12376,time
7521,127,ALIAKSANDR KUSCHYNSKI,LIQUIGAS,91h 19' 39'',+ 03h 26' 47'',,,2008,3559,21,328779,12407,time
7522,128,BRETT DANIEL LANCASTER,TEAM MILRAM,91h 20' 21'',+ 03h 27' 29'',,,2008,3559,21,328821,12449,time
7523,129,MANUEL QUINZIATO,LIQUIGAS,91h 20' 55'',+ 03h 28' 03'',,,2008,3559,21,328855,12483,time
7524,130,SEBASTIAN LANGEVELD,RABOBANK,91h 20' 59'',+ 03h 28' 07'',,,2008,3559,21,328859,12487,time
7525,131,ARNAUD GERARD,FRANCAISE DES JEUX,91h 22' 52'',+ 03h 30' 00'',,,2008,3559,21,328972,12600,time
7526,132,WILLIAM FRISCHKORN,GARMIN CHIPOTLE,91h 23' 39'',+ 03h 30' 47'',,,2008,3559,21,329019,12647,time
7527,133,MARTIJN MAASKANT,GARMIN CHIPOTLE,91h 24' 22'',+ 03h 31' 30'',,,2008,3559,21,329062,12690,time
7528,134,FREDDY BICHOT,AGRITUBEL,91h 25' 17'',+ 03h 32' 25'',,,2008,3559,21,329117,12745,time
7529,135,NIKI TERPSTRA,TEAM MILRAM,91h 26' 32'',+ 03h 33' 40'',,,2008,3559,21,329192,12820,time
7530,136,CHRISTOPHE RIBLON,AG2R-LA MONDIALE,91h 28' 16'',+ 03h 35' 24'',,,2008,3559,21,329296,12924,time
7531,137,JIMMY ENGOULVENT,CREDIT AGRICOLE,91h 28' 22'',+ 03h 35' 30'',,,2008,3559,21,329302,12930,time
7532,138,STÉPHANE AUGE,COFIDIS CREDIT PAR TELEPHONE,91h 28' 44'',+ 03h 35' 52'',,,2008,3559,21,329324,12952,time
7533,139,MASSIMILIANO MORI,LAMPRE,91h 30' 14'',+ 03h 37' 22'',,,2008,3559,21,329414,13042,time
7534,140,VICENTE GARCIA ACOSTA,CAISSE D'EPARGNE,91h 32' 40'',+ 03h 39' 48'',,,2008,3559,21,329560,13188,time
7535,141,MATTHIEU SPRICK,BOUYGUES TELECOM,91h 41' 10'',+ 03h 48' 18'',,,2008,3559,21,330070,13698,time
7536,142,SVEN KRAUSS,GEROLSTEINER,91h 44' 47'',+ 03h 51' 55'',,,2008,3559,21,330287,13915,time
7537,143,BERNHARD EISEL,TEAM COLUMBIA,91h 47' 44'',+ 03h 54' 52'',,,2008,3559,21,330464,14092,time
7538,144,WIM VANSEVENANT,SILENCE - LOTTO,91h 48' 37'',+ 03h 55' 45'',,,2008,3559,21,330517,14145,time
7539,1,ALBERTO CONTADOR,ASTANA,85h 48' 35'',-,,,2009,3460,21,308915,0,time
7540,2,ANDY SCHLECK,TEAM SAXO BANK,85h 52' 46'',+ 00h 04' 11'',,,2009,3460,21,309166,251,time
7541,3,BRADLEY WIGGINS,GARMIN - SLIPSTREAM,85h 54' 36'',+ 00h 06' 01'',,,2009,3460,21,309276,361,time
7542,4,FRANK SCHLECK,TEAM SAXO BANK,85h 54' 39'',+ 00h 06' 04'',,,2009,3460,21,309279,364,time
7543,5,ANDREAS KLÖDEN,ASTANA,85h 55' 17'',+ 00h 06' 42'',,,2009,3460,21,309317,402,time
7544,6,VINCENZO NIBALI,LIQUIGAS,85h 56' 10'',+ 00h 07' 35'',,,2009,3460,21,309370,455,time
7545,7,CHRISTIAN VANDE VELDE,GARMIN - SLIPSTREAM,86h 00' 39'',+ 00h 12' 04'',,,2009,3460,21,309639,724,time
7546,8,ROMAN KREUZIGER,LIQUIGAS,86h 02' 51'',+ 00h 14' 16'',,,2009,3460,21,309771,856,time
7547,9,CHRISTOPHE LE MEVEL,FRANCAISE DES JEUX,86h 03' 00'',+ 00h 14' 25'',,,2009,3460,21,309780,865,time
7548,10,SANDY CASAR,FRANCAISE DES JEUX,86h 05' 54'',+ 00h 17' 19'',,,2009,3460,21,309954,1039,time
7549,11,VLADIMIR KARPETS,TEAM KATUSHA,86h 07' 09'',+ 00h 18' 34'',,,2009,3460,21,310029,1114,time
7550,12,RINALDO NOCENTINI,AG2R LA MONDIALE,86h 09' 20'',+ 00h 20' 45'',,,2009,3460,21,310160,1245,time
7551,13,JURGEN VAN DEN BROECK,SILENCE - LOTTO,86h 09' 25'',+ 00h 20' 50'',,,2009,3460,21,310165,1250,time
7552,14,STEPHANE GOUBERT,AG2R LA MONDIALE,86h 11' 04'',+ 00h 22' 29'',,,2009,3460,21,310264,1349,time
7553,15,CARLOS SASTRE,CERVELO TEST TEAM,86h 14' 56'',+ 00h 26' 21'',,,2009,3460,21,310496,1581,time
7554,16,ALEXANDRE BOTCHAROV,TEAM KATUSHA,86h 18' 08'',+ 00h 29' 33'',,,2009,3460,21,310688,1773,time
7555,17,GEORGE HINCAPIE,TEAM COLUMBIA - HTC,86h 22' 02'',+ 00h 33' 27'',,,2009,3460,21,310922,2007,time
7556,18,SYLVAIN CHAVANEL,QUICK STEP,86h 22' 44'',+ 00h 34' 09'',,,2009,3460,21,310964,2049,time
7557,19,CHRISTIAN KNEES,TEAM MILRAM,86h 23' 23'',+ 00h 34' 48'',,,2009,3460,21,311003,2088,time
7558,20,PIERRE ROLLAND,BBOX BOUYGUES TELECOM,86h 26' 19'',+ 00h 37' 44'',,,2009,3460,21,311179,2264,time
7559,23,NICOLAS ROCHE,AG2R LA MONDIALE,86h 26' 55'',+ 00h 38' 20'',,,2009,3460,21,311215,2300,time
7560,24,LINUS GERDEMANN,TEAM MILRAM,86h 27' 10'',+ 00h 38' 35'',,,2009,3460,21,311230,2315,time
7561,25,BRICE FEILLU,AGRITUBEL,86h 29' 49'',+ 00h 41' 14'',,,2009,3460,21,311389,2474,time
7562,26,LUIS LEON SANCHEZ,CAISSE D’EPARGNE,86h 30' 02'',+ 00h 41' 27'',,,2009,3460,21,311402,2487,time
7563,27,HAIMAR ZUBELDIA,ASTANA,86h 32' 09'',+ 00h 43' 34'',,,2009,3460,21,311529,2614,time
7564,28,MAXIME MONFORT,TEAM COLUMBIA - HTC,86h 32' 29'',+ 00h 43' 54'',,,2009,3460,21,311549,2634,time
7565,29,CHRISTOPHE MOREAU,AGRITUBEL,86h 33' 08'',+ 00h 44' 33'',,,2009,3460,21,311588,2673,time
7566,30,CADEL EVANS,SILENCE - LOTTO,86h 33' 59'',+ 00h 45' 24'',,,2009,3460,21,311639,2724,time
7567,31,NICKI SORENSEN,TEAM SAXO BANK,86h 35' 09'',+ 00h 46' 34'',,,2009,3460,21,311709,2794,time
7568,32,PETER VELITS,TEAM MILRAM,86h 35' 10'',+ 00h 46' 35'',,,2009,3460,21,311710,2795,time
7569,33,HUBERT DUPONT,AG2R LA MONDIALE,86h 38' 18'',+ 00h 49' 43'',,,2009,3460,21,311898,2983,time
7570,34,CHRIS ANKER SORENSEN,TEAM SAXO BANK,86h 38' 22'',+ 00h 49' 47'',,,2009,3460,21,311902,2987,time
7571,35,SERGIO MIGUEL MOREIRA PAULINHO,ASTANA,86h 42' 35'',+ 00h 54' 00'',,,2009,3460,21,312155,3240,time
7572,36,TONY MARTIN,TEAM COLUMBIA - HTC,86h 43' 39'',+ 00h 55' 04'',,,2009,3460,21,312219,3304,time
7573,38,SÉBASTIEN MINARD,COFIDIS LE CREDIT EN LIGNE,86h 46' 12'',+ 00h 57' 37'',,,2009,3460,21,312372,3457,time
7574,39,LUIS PASAMONTES,CAISSE D’EPARGNE,86h 46' 22'',+ 00h 57' 47'',,,2009,3460,21,312382,3467,time
7575,40,SERGUEI IVANOV,TEAM KATUSHA,86h 48' 56'',+ 01h 00' 21'',,,2009,3460,21,312536,3621,time
7576,41,YAROSLAV POPOVYCH,ASTANA,86h 49' 43'',+ 01h 01' 08'',,,2009,3460,21,312583,3668,time
7577,42,LAURENT LEFEVRE,BBOX BOUYGUES TELECOM,86h 50' 04'',+ 01h 01' 29'',,,2009,3460,21,312604,3689,time
7578,43,RÉMI PAURIOL,COFIDIS LE CREDIT EN LIGNE,86h 51' 39'',+ 01h 03' 04'',,,2009,3460,21,312699,3784,time
7579,44,EGOI MARTINEZ,EUSKALTEL - EUSKADI,86h 55' 55'',+ 01h 07' 20'',,,2009,3460,21,312955,4040,time
7580,45,VOLODYMIR GUSTOV,CERVELO TEST TEAM,86h 56' 50'',+ 01h 08' 15'',,,2009,3460,21,313010,4095,time
7581,46,MATTHEW LLOYD,SILENCE - LOTTO,86h 57' 40'',+ 01h 09' 05'',,,2009,3460,21,313060,4145,time
7582,47,YURY TROFIMOV,BBOX BOUYGUES TELECOM,86h 57' 58'',+ 01h 09' 23'',,,2009,3460,21,313078,4163,time
7583,48,JÉRÉMY ROY,FRANCAISE DES JEUX,86h 57' 58'',+ 01h 09' 23'',,,2009,3460,21,313078,4163,time
7584,49,RYDER HESJEDAL,GARMIN - SLIPSTREAM,87h 02' 38'',+ 01h 14' 03'',,,2009,3460,21,313358,4443,time
7585,50,GUSTAV LARSSON,TEAM SAXO BANK,87h 03' 57'',+ 01h 15' 22'',,,2009,3460,21,313437,4522,time
7586,51,RIGOBERTO URAN,CAISSE D’EPARGNE,87h 08' 55'',+ 01h 20' 20'',,,2009,3460,21,313735,4820,time
7587,53,DAVID LOOSLI,LAMPRE - N.G.C,87h 10' 31'',+ 01h 21' 56'',,,2009,3460,21,313831,4916,time
7588,54,GRISCHA NIERMANN,RABOBANK,87h 10' 34'',+ 01h 21' 59'',,,2009,3460,21,313834,4919,time
7589,55,SYLVAIN CALZATI,AGRITUBEL,87h 14' 22'',+ 01h 25' 47'',,,2009,3460,21,314062,5147,time
7590,56,PIERRICK FEDRIGO,BBOX BOUYGUES TELECOM,87h 14' 42'',+ 01h 26' 07'',,,2009,3460,21,314082,5167,time
7591,57,KIM KIRCHEN,TEAM COLUMBIA - HTC,87h 15' 27'',+ 01h 26' 52'',,,2009,3460,21,314127,5212,time
7592,58,DAVID MONCOUTIE,COFIDIS LE CREDIT EN LIGNE,87h 17' 10'',+ 01h 28' 35'',,,2009,3460,21,314230,5315,time
7593,59,CHARLES WEGELIUS,SILENCE - LOTTO,87h 18' 12'',+ 01h 29' 37'',,,2009,3460,21,314292,5377,time
7594,60,LAURENS TEN DAM,RABOBANK,87h 23' 32'',+ 01h 34' 57'',,,2009,3460,21,314612,5697,time
7595,61,GORKA VERDUGO,EUSKALTEL - EUSKADI,87h 24' 24'',+ 01h 35' 49'',,,2009,3460,21,314664,5749,time
7596,62,JUAN MANUEL GARATE,RABOBANK,87h 25' 54'',+ 01h 37' 19'',,,2009,3460,21,314754,5839,time
7597,64,GEOFFROY LEQUATRE,AGRITUBEL,87h 28' 44'',+ 01h 40' 09'',,,2009,3460,21,314924,6009,time
7598,65,AMAEL MOINARD,COFIDIS LE CREDIT EN LIGNE,87h 31' 03'',+ 01h 42' 28'',,,2009,3460,21,315063,6148,time
7599,66,IGOR ANTON HERNANDEZ,EUSKALTEL - EUSKADI,87h 33' 14'',+ 01h 44' 39'',,,2009,3460,21,315194,6279,time
7600,67,THOMAS VOECKLER,BBOX BOUYGUES TELECOM,87h 36' 15'',+ 01h 47' 40'',,,2009,3460,21,315375,6460,time
7601,68,NICOLAS VOGONDY,AGRITUBEL,87h 39' 44'',+ 01h 51' 09'',,,2009,3460,21,315584,6669,time
7602,69,DAVID ARROYO DURAN,CAISSE D’EPARGNE,87h 40' 27'',+ 01h 51' 52'',,,2009,3460,21,315627,6712,time
7603,70,MAXIME BOUET,AGRITUBEL,87h 41' 39'',+ 01h 53' 04'',,,2009,3460,21,315699,6784,time
7604,71,JOSÉ IVAN GUTIERREZ PALACIOS,CAISSE D’EPARGNE,87h 42' 43'',+ 01h 54' 08'',,,2009,3460,21,315763,6848,time
7605,72,RUBEN PEREZ MORENO,EUSKALTEL - EUSKADI,87h 46' 04'',+ 01h 57' 29'',,,2009,3460,21,315964,7049,time
7606,73,JOOST POSTHUMA,RABOBANK,87h 47' 00'',+ 01h 58' 25'',,,2009,3460,21,316020,7105,time
7607,74,JOAN HORRACH,TEAM KATUSHA,87h 47' 27'',+ 01h 58' 52'',,,2009,3460,21,316047,7132,time
7608,75,CHRISTOPHE KERN,COFIDIS LE CREDIT EN LIGNE,87h 47' 55'',+ 01h 59' 20'',,,2009,3460,21,316075,7160,time
7609,76,SEBASTIAN LANG,SILENCE - LOTTO,87h 49' 27'',+ 02h 00' 52'',,,2009,3460,21,316167,7252,time
7610,77,DAVID ZABRISKIE,GARMIN - SLIPSTREAM,87h 51' 11'',+ 02h 02' 36'',,,2009,3460,21,316271,7356,time
7611,78,JOHANNES FRÖHLINGER,TEAM MILRAM,87h 53' 28'',+ 02h 04' 53'',,,2009,3460,21,316408,7493,time
7612,79,HAYDEN ROULSTON,CERVELO TEST TEAM,87h 56' 33'',+ 02h 07' 58'',,,2009,3460,21,316593,7678,time
7613,80,MARZIO BRUSEGHIN,LAMPRE - N.G.C,87h 57' 17'',+ 02h 08' 42'',,,2009,3460,21,316637,7722,time
7614,81,JOSÉ LUIS ARRIETA,AG2R LA MONDIALE,88h 00' 04'',+ 02h 11' 29'',,,2009,3460,21,316804,7889,time
